polica_sifra,polica_naziv,tip
D23,Proizvodnja,SHELF
D24,Proizvodnja,SHELF
D24,Magacin,SHELF
D24,Magacin,SHELF
D25,Magacin,SHELF
D25,Magacin,SHELF
D25,Proizvodnja,SHELF
D26,Magacin,SHELF
D26,Proizvodnja,SHELF
D26,Magacin,SHELF
D27,Proizvodnja,SHELF
D27,Magacin,SHELF
D27,Magacin,SHELF
D28,Proizvodnja,SHELF
D28,Magacin,SHELF
D28,Magacin,SHELF
D29,Proizvodnja,SHELF
D29,Magacin,SHELF
D29,Magacin,SHELF
D3,Magacin,SHELF
D3,Proizvodnja,SHELF
D3,Magacin,SHELF
D3,Proizvodnja,SHELF
D30,Magacin,SHELF
D30,Proizvodnja,SHELF
D30,Magacin,SHELF
D31,Magacin,SHELF
D31,Magacin,SHELF
D32,Magacin,SHELF
D32,Magacin,SHELF
D33,Magacin,SHELF
D33,Magacin,SHELF
D34,Magacin,SHELF
D34,Magacin,SHELF
D35,Magacin,SHELF
D35,Magacin,SHELF
D36,Magacin,SHELF
D36,Magacin,SHELF
D37,Magacin,SHELF
D37,Magacin,SHELF
D38,Magacin,SHELF
D38,Magacin,SHELF
D39,Magacin,SHELF
D39,Magacin,SHELF
D4,Proizvodnja,SHELF
D4,Proizvodnja,SHELF
D4,Magacin,SHELF
D4,Magacin,SHELF
D40,Magacin,SHELF
D40,Magacin,SHELF
D41,Magacin,SHELF
D41,Magacin,SHELF
D42,Magacin,SHELF
D42,Magacin,SHELF
D43,Magacin,SHELF
